0 th order coefficient,1st order coefficient,2nd order coefficient,3rd order coefficient,4th order coefficient,5th order coefficient,6th order coefficient,7th order coefficient,8th order coefficient,9th order coefficient,10th order coefficient,11 th order coefficient,12th order coefficient,13 th order coefficient,Delta of 0th order coefficient,Delta of 1st order coefficient,Delta of 2nd order coefficient,Delta of 3rd order coefficient,Delta of 4th order coefficient,Delta of 5th order coefficient,labels
-647.2050171,74.49481964,-1.027088284,18.25638199,8.400714874,2.474265575,-6.123550415,-2.49246645,-16.30906868,-2.110272408,-0.632600248,-2.432192802,0.957062542,-3.460786581,-0.890993118,2.436301231,-6.758149147,-1.168993711,-2.999688387,-0.060076494,male_neutral
-472.9451669,36.63128935,7.330169047,11.10082663,6.513339319,0.049588374,-3.866884215,-7.118441635,-10.39207923,-6.268242591,-1.091746151,-1.903365714,-1.443264355,-1.551623926,-1.203280475,-0.537475764,-4.358109108,-3.46446234,0.169618995,-2.026724936,male_neutral
-714.3745117,73.62744141,-3.383079529,19.45029259,5.375023365,1.764675736,-8.947500229,-3.630323648,-18.45537186,2.115432024,-1.539266348,-1.074865937,0.077274576,-3.825186253,-0.892825067,0.224743485,-7.663174629,-1.202182531,-2.900960445,-3.214236021,male_neutral
-636.1191406,74.38524628,-5.053098202,22.25300598,8.646654129,0.856430352,-4.796638966,-5.969506264,-18.15377998,-0.742294431,-1.465841651,-2.366808176,-1.034439683,-3.25164175,-2.338206291,1.70833075,-8.010624886,-0.221000582,-4.311787605,1.725494385,male_neutral
-508.9047508,43.60848364,5.074814171,14.49629312,7.032581179,-1.9652104,-3.725149501,-8.78990607,-12.2725618,-4.561940423,-1.44698205,-2.425101249,-2.171814129,-2.810623296,-1.800762573,0.038668642,-5.094465539,-3.301223295,-1.214209776,-2.037468391,male_neutral
-693.7622681,69.42139435,-8.819324493,24.22308731,5.372669697,-0.0296246,-6.462529659,-9.159227371,-18.99091721,1.542047739,-2.807677746,-1.733336449,-1.923168898,-4.221439362,-3.435846567,-2.55492425,-9.938466072,-1.4975245,-3.811987638,-1.721106291,male_neutral
-644.5640869,76.07219696,-3.031957865,18.03558731,3.830156088,2.010352135,-5.771605968,-6.507546425,-16.28427505,-4.15807724,-1.796771288,-2.937760592,0.131484479,-3.680560112,-4.597733021,2.104958773,-8.216156006,-3.141784191,-1.387990117,1.016802907,male_neutral
-379.6458815,21.13223788,10.40473194,8.212578062,1.984067678,-0.01683462,-1.92701134,-5.963695651,-7.005589078,-5.11248295,-2.705423276,-0.943632577,0.093188308,-1.420141074,-1.883904553,-0.429588743,-2.071349622,-2.674180649,0.091608554,-1.283296603,male_neutral
-699.4951172,74.19728088,-4.788012028,19.05613518,0.71164757,-0.025451265,-8.437167168,-8.136149406,-18.07765388,-2.308574915,-2.268759012,-2.535532475,-1.165958405,-5.034687996,-2.516396284,0.565959394,-9.860521317,-2.846369982,-2.138254642,-2.668079615,male_neutral
-645.8914185,70.95431519,1.215193272,18.3578434,6.103976727,4.332427979,-3.954722166,-6.541092396,-14.59688091,-3.284574747,-1.268802881,-1.210839272,-1.390608072,-2.802499056,-4.010446072,2.699784279,-7.485540867,-1.663711786,-1.489215136,0.430922776,male_neutral
